C:\Users\madhu\Desktop\IMG\center_2019_12_14_01_40_24_284.jpg,C:\Users\madhu\Desktop\IMG\left_2019_12_14_01_40_24_284.jpg,C:\Users\madhu\Desktop\IMG\right_2019_12_14_01_40_24_284.jpg,0,0,0,1.204285E-05
C:\Users\madhu\Desktop\IMG\center_2019_12_14_01_40_24_370.jpg,C:\Users\madhu\Desktop\IMG\left_2019_12_14_01_40_24_370.jpg,C:\Users\madhu\Desktop\IMG\right_2019_12_14_01_40_24_370.jpg,0,0,0,8.589537E-06
C:\Users\madhu\Desktop\IMG\center_2019_12_14_01_40_24_468.jpg,C:\Users\madhu\Desktop\IMG\left_2019_12_14_01_40_24_468.jpg,C:\Users\madhu\Desktop\IMG\right_2019_12_14_01_40_24_468.jpg,0,0,0,1.233018E-05
C:\Users\madhu\Desktop\IMG\center_2019_12_14_01_40_24_573.jpg,C:\Users\madhu\Desktop\IMG\left_2019_12_14_01_40_24_573.jpg,C:\Users\madhu\Desktop\IMG\right_2019_12_14_01_40_24_573.jpg,0,0,0,6.523773E-06
C:\Users\madhu\Desktop\IMG\center_2019_12_14_01_40_24_670.jpg,C:\Users\madhu\Desktop\IMG\left_2019_12_14_01_40_24_670.jpg,C:\Users\madhu\Desktop\IMG\right_2019_12_14_01_40_24_670.jpg,0,0,0,4.2156E-07
C:\Users\madhu\Desktop\IMG\center_2019_12_14_01_40_24_769.jpg,C:\Users\madhu\Desktop\IMG\left_2019_12_14_01_40_24_769.jpg,C:\Users\madhu\Desktop\IMG\right_2019_12_14_01_40_24_769.jpg,0,0,0,1.098386E-05
C:\Users\madhu\Desktop\IMG\center_2019_12_14_01_40_24_878.jpg,C:\Users\madhu\Desktop\IMG\left_2019_12_14_01_40_24_878.jpg,C:\Users\madhu\Desktop\IMG\right_2019_12_14_01_40_24_878.jpg,0,0.3255795,0,0.2988148
C:\Users\madhu\Desktop\IMG\center_2019_12_14_01_40_24_970.jpg,C:\Users\madhu\Desktop\IMG\left_2019_12_14_01_40_24_970.jpg,C:\Users\madhu\Desktop\IMG\right_2019_12_14_01_40_24_970.jpg,-0.15,0.5924028,0,0.9304298
C:\Users\madhu\Desktop\IMG\center_2019_12_14_01_40_25_070.jpg,C:\Users\madhu\Desktop\IMG\left_2019_12_14_01_40_25_070.jpg,C:\Users\madhu\Desktop\IMG\right_2019_12_14_01_40_25_070.jpg,-0.4,0.8910717,0,1.905658
C:\Users\madhu\Desktop\IMG\center_2019_12_14_01_40_25_165.jpg,C:\Users\madhu\Desktop\IMG\left_2019_12_14_01_40_25_165.jpg,C:\Users\madhu\Desktop\IMG\right_2019_12_14_01_40_25_165.jpg,0,1,0,3.066697
